epoch,acc,loss
0,0.9447380304336548,0.193262979388237
1,0.950925350189209,0.1701107919216156
2,0.9509069323539734,0.1721346229314804
3,0.9523248076438904,0.1640334278345108
4,0.953466534614563,0.164957657456398
5,0.9544425010681152,0.16052564978599548
6,0.9572415351867676,0.14868904650211334
7,0.9563391804695129,0.15444375574588776
8,0.9562287330627441,0.15275852382183075
9,0.9578492045402527,0.1495148241519928
10,0.9594512581825256,0.14420484006404877
11,0.9589908719062805,0.14598143100738525
12,0.9609059691429138,0.14299549162387848
